Ability,Pick %,Win %,Avg Pick #,Value
Fury Swipes,98.49%,53.13%,3.87,10.84%
Bash of the Deep,98.58%,51.09%,4.25,-9.22%
Shadow Realm,98.50%,54.19%,4.31,21.82%
Shukuchi,98.57%,57.68%,4.81,57.21%
Berserker's Blood,98.37%,53.48%,5.00,15.40%
Arctic Burn,98.55%,58.92%,5.01,69.86%
Unleash,98.48%,50.95%,5.17,-9.71%
Essence Shift,98.46%,50.54%,5.25,-13.74%
Arcane Supremacy,98.37%,50.89%,5.96,-9.54%
Shadow Fiend,98.47%,56.52%,6.53,47.41%
Thirst,98.55%,54.63%,6.56,28.49%
Sniper,98.51%,56.89%,6.60,51.19%
Vengeance Aura,98.40%,55.02%,6.60,32.43%
Atrophy Aura,98.59%,54.86%,6.60,30.90%
Essence Flux,98.44%,49.70%,6.60,-20.72%
Moon Glaives,98.44%,54.22%,6.61,24.49%
Blink,98.53%,55.17%,6.89,34.20%
Finger of Death,98.41%,44.94%,7.03,-67.93%
Fiery Soul,98.43%,49.90%,7.15,-18.21%
Tidebringer,98.46%,51.06%,7.25,-6.47%
Aftershock,97.59%,56.51%,7.37,48.12%
Chemical Rage,98.47%,52.71%,7.49,10.29%
Time Lock,98.54%,47.77%,7.53,-39.11%
Arc Lightning,98.44%,50.50%,7.59,-11.72%
Flak Cannon,98.40%,54.16%,7.65,24.95%
Cloak and Dagger,98.38%,51.99%,7.65,3.21%
Windrun,98.40%,55.08%,7.79,34.25%
Sleight of Fist,98.36%,48.10%,8.21,-35.13%
Techies,98.50%,54.04%,8.47,24.50%
Blink,98.55%,53.52%,8.51,19.34%
Chilling Touch,98.46%,47.84%,8.56,-37.36%
Juxtapose,98.39%,52.77%,8.75,12.16%
Duel,98.43%,50.85%,8.75,-7.08%
Elder Dragon Form,98.40%,48.01%,8.78,-35.44%
Psi Blades,98.51%,50.14%,8.81,-14.07%
Infernal Blade,98.65%,51.13%,8.81,-4.21%
Chaos Strike,98.57%,48.79%,8.84,-27.57%
Frostbite,98.49%,52.63%,8.86,10.87%
Meat Hook,98.35%,51.36%,9.01,-1.68%
Enchant Totem,98.54%,46.34%,9.06,-51.86%
Jinada,98.58%,47.45%,9.13,-40.66%
Mortal Strike,98.50%,48.19%,9.77,-32.64%
Lil' Shredder,98.50%,47.76%,9.84,-36.87%
Astral Step,98.30%,54.81%,9.85,33.67%
Time Walk,98.48%,53.90%,9.91,24.60%
Glaives of Wisdom,98.52%,50.37%,10.01,-10.63%
Storm Hammer,98.39%,53.10%,10.33,17.02%
Sticky Napalm,98.23%,47.00%,10.34,-44.01%
Hunter in the Night,98.45%,52.07%,10.43,6.85%
Chakra Magic,98.32%,49.54%,10.59,-18.29%
Dispersion,98.35%,56.09%,10.64,47.21%
Counter Helix,98.28%,53.39%,10.84,20.46%
Geminate Attack,98.43%,46.30%,10.86,-50.40%
Gunslinger,98.54%,48.78%,10.91,-25.56%
Hammer of Purity,98.42%,49.07%,10.93,-22.67%
Tombstone,98.41%,52.56%,10.99,12.29%
Impetus,98.33%,48.49%,11.05,-28.38%
Mana Break,98.65%,47.41%,11.18,-39.06%
Greater Bash,98.44%,47.25%,11.27,-40.52%
Wukong's Command,98.39%,51.88%,11.63,6.13%
